FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,SF,Lakers,RBSL,26,77,207,D+,C ,C+,C ,C ,D+,C ,C-,B-,B ,C+,C+,B ,A ,A-,A-,A ,D ,C ,B ,C ,C ,D ,C ,D ,B ,B ,B ,C 
Mo,Bamba,C,Pelicans,RBSL,27,83,261,D-,B ,B ,C+,C ,F ,A-,B+,B ,D+,C-,A ,A-,C ,B-,C+,A-,D ,B ,B ,B ,D ,D ,A ,B ,B ,C ,C ,A 
William,Tate,PG,Pistons,RBSL,25,74,194,C ,C ,C+,C+,C+,F+,F ,D-,F+,C+,D-,D+,B+,A ,C ,C ,A-,C ,C ,C ,B ,C ,F ,F ,F ,F ,B ,D ,D 
Brice,Williams,C,FA,,28,83,274,D+,D-,C ,F-,D-,D ,C-,D ,D+,F+,D+,D ,C-,F ,C ,B-,B+,D ,D ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,29,83,284,D+,D+,C ,F-,D+,F+,C+,B ,B ,F+,D+,B-,A+,F-,C ,B-,C ,D ,D ,C ,F ,D ,F ,C ,B ,B ,F ,D ,B 
Domenic,Cary,C,FA,,32,85,290,F ,C-,C ,F-,D+,F ,C-,C ,D ,F ,C-,D ,B-,F-,D+,A ,D+,F ,C ,C ,F ,D ,F ,D ,C ,D ,F ,D ,D 
James,Mathes,PG,FA,,22,75,171,D ,D ,C+,F+,D+,F+,D+,F ,F-,C ,C+,F-,C-,A ,C ,D ,A-,D ,D ,C ,F ,D ,F ,D ,F ,F ,C ,C ,F 
Mikal,Bridges,SF,Heat,RBSL,27,79,225,F+,C ,A-,A-,C-,D+,D+,C ,C ,B+,B ,C ,C+,A-,C+,C+,A ,D ,C ,A ,A ,D ,D ,D ,C ,C ,B ,B ,C 
Erasmo,Twyman,C,FA,,30,83,278,F ,D ,C-,F-,D-,D-,D ,C-,D+,F ,D+,C-,D+,F-,C-,C-,A-,F ,D ,D ,F ,F ,F ,D ,D ,D ,F ,D ,D 
Marvin,Bagley,PF,Rockets,RBSL,26,83,257,C ,C+,C ,B-,C-,F ,A ,A-,C ,D ,C ,B ,C ,B ,A ,C+,A-,C ,B ,B ,B ,D ,D ,A ,B ,C ,D ,C ,B 
Markelle,Fultz,PG,Clippers,RBSL,32,76,212,C ,B+,B ,B ,B ,B ,D-,C ,D+,C ,C ,C ,B+,A ,C+,C ,A ,C ,B ,B ,B ,B ,B ,F ,D ,D ,C ,C ,D 
Daniel,Martin,C,FA,,29,83,280,C ,C-,B ,F-,F+,F-,F ,D+,D-,F ,F-,D+,F+,F ,C ,B-,D+,C ,D ,B ,F ,F ,F ,F ,D ,D ,F ,F ,D 
Trevor,Lucas,PF,FA,,32,83,274,D ,D ,B-,F-,D ,F-,D+,D ,C ,F-,F ,F ,F ,F ,D ,B+,A ,D ,D ,B ,F ,D ,F ,D ,D ,C ,F ,F ,F 
Alvin,King,C,D-Hawks,D-RBSL,29,83,280,D-,D ,C ,F-,D ,F+,D+,C+,B-,D+,D ,C+,C-,F ,F+,A-,B-,F ,D ,C ,F ,D ,F ,D ,C ,B ,D ,D ,C 
Travis,McGregor,C,FA,,32,84,296,D ,D+,C ,F-,D-,F ,C-,D ,D ,F ,F-,D+,C+,F-,C-,A+,C ,D ,D ,B ,F ,F ,F ,D ,D ,D ,F ,F ,D 
Wendell,Carter,C,Hawks,RBSL,26,82,275,D ,C+,C+,B-,D+,C+,B+,A-,C+,D ,C ,B-,C-,C-,C ,A ,B ,D ,C ,B ,B ,D ,C ,B ,A ,C ,D ,C ,B 
Monty,Yarborough,C,D-Warriors,D-RBSL,30,83,274,D-,C+,B-,F-,C-,D-,D ,C ,B ,F+,C-,C ,C ,D ,B ,C+,A ,D ,C ,B ,F ,D ,D ,D ,C ,B ,F ,D ,C 
Douglas,Stout,PG,D-Nets,D-RBSL,24,77,214,C-,C+,A-,C ,C ,F+,F+,F-,F+,C-,D ,F ,B+,A-,C-,D ,C ,D ,C ,A ,C ,C ,F ,F ,F ,F ,D ,D ,F 
Oldrich,Luba,C,Timberwolves,RBSL,29,87,291,D ,D ,B ,F-,C-,C+,A+,A ,A-,B-,D+,A+,A ,C ,A-,C+,A ,D ,D ,B ,F ,D ,C ,A ,A ,A ,B ,D ,A 
Scott,Magill,C,D-Bucks,D-RBSL,32,80,252,D+,C+,A-,F+,D+,F ,D ,D+,C ,F ,F+,B-,C ,F ,C+,A-,B+,D ,C ,A ,F ,D ,F ,D ,D ,C ,F ,F ,B 
Rudolph,Wolf,C,FA,,23,86,251,F+,D ,C+,F-,D ,D-,D ,C-,C-,F-,F+,C-,D-,F ,C-,C ,C ,D ,C ,B ,F ,D ,D ,D ,C ,C ,F ,D ,C 
John,Faulkner,PG,D-Clippers,D-RBSL,23,77,184,F+,C-,B ,D ,C ,D ,D ,D-,F-,C-,C ,F-,B ,A-,D ,C ,B ,F ,D ,B ,D ,C ,D ,D ,F ,F ,D ,C ,F 
Arden,Moses,C,D-76ers,D-RBSL,31,83,285,D ,C ,D ,F-,C-,D+,C+,C ,C ,F+,C-,D+,C-,F+,D-,C+,B+,D ,C ,D ,F ,D ,D ,B ,C ,C ,D ,D ,D 
Chris,Adams,C,FA,,23,84,258,F+,D+,C+,F-,D-,D-,C-,D+,D+,F ,F-,C ,C ,F ,D-,B-,C ,F ,D ,B ,F ,F ,D ,D ,D ,D ,F ,F ,C 
Justin,Graves,C,D-Mavericks,D-RBSL,29,83,278,D-,D-,C ,F-,D ,D ,D-,C ,C ,F ,D ,C ,A-,D ,C+,B ,A-,D ,F ,C ,F ,D ,D ,D ,C ,C ,F ,D ,C 
Michael,Porter Jr.,SF,FA,,26,82,238,D ,C+,A-,C ,C-,D-,C ,D+,D-,D+,C ,C-,B+,B ,B-,C+,A ,D ,C ,A ,C ,C ,D ,D ,D ,D ,D ,C ,D 
Gil,De Urquiza,PG,FA,,22,74,184,D ,C-,B ,D+,C ,C-,F+,F ,F-,D+,C-,F-,A-,B+,C-,C+,C+,D ,D ,B ,D ,C ,D ,F ,F ,F ,D ,C ,F 
Donald,Kahler,PG,FA,,24,71,177,D-,C+,B-,C ,C ,F+,F ,D ,F ,A-,D+,F ,A-,A-,C ,C ,C ,D ,B ,B ,B ,B ,D ,F ,D ,F ,B ,C ,F 
Hoyt,White,PG,FA,,21,72,169,F ,B+,B+,F ,C ,F ,F-,F ,F ,F+,C ,F-,D+,B ,D+,D+,C ,F ,A ,A ,F ,B ,F ,F ,F ,F ,D ,C ,F 
Kendrick,Delacruz,C,FA,,30,87,304,F+,D-,C-,F-,D-,D-,D-,D-,C-,F ,F+,C-,C+,F ,C-,A+,A-,F ,D ,D ,F ,F ,F ,F ,F ,D ,F ,F ,D 
Loren,Whitaker,C,D-Knicks,D-RBSL,31,82,273,F ,C ,D ,F-,C-,F+,C+,B+,C ,D-,D ,A-,A ,D ,B+,B-,F+,F ,C ,D ,F ,D ,F ,C ,B ,C ,D ,D ,B 
Alvaro,Parker,C,D-Grizzlies,D-RBSL,32,84,291,D ,F ,C-,F-,F ,F+,F+,C-,C ,F+,D ,D ,C-,F ,C-,A-,C ,D ,F ,C ,F ,F ,F ,F ,D ,C ,F ,D ,D 
Matt,Marsh,C,FA,,29,82,276,D-,C-,F+,F-,C-,D-,F ,D ,B ,F+,D ,C+,C-,F-,D-,B+,B-,F ,D ,F ,F ,D ,D ,F ,D ,B ,F ,D ,C 
Ernesto,Cortina,C,FA,,33,83,287,C-,C ,B ,F-,C-,F ,F+,C-,C-,F ,F-,D-,B ,F+,D+,C ,A-,D ,D ,B ,F ,D ,F ,F ,D ,D ,F ,F ,F 
Waldo,Hesse,C,D-Nets,D-RBSL,30,85,293,D ,C-,B-,F-,D-,F+,D-,D+,C ,D-,C+,D+,D-,F-,C-,A+,C ,D ,D ,B ,F ,F ,F ,F ,D ,C ,D ,C ,D 
Vincent,Laguna,PG,Nuggets,RBSL,24,73,181,D+,C+,B+,F-,C ,C-,F ,D ,F ,B ,C+,F ,A-,A ,C+,C-,B+,D ,C ,A ,F ,C ,D ,F ,D ,F ,B ,C ,F 
Charles,Hammel,PG,D-Jazz,D-RBSL,25,74,200,F+,C ,A-,C-,B ,C ,F-,D ,F-,C+,C ,F+,F-,A-,C+,B ,A-,F ,C ,A ,D ,B ,C ,F ,D ,F ,C ,C ,F 
Nacio,Escriva,C,FA,,33,84,292,C ,C ,B+,F+,C ,D-,C ,A ,C+,F ,F+,C-,C-,F+,C ,A-,C ,C ,C ,A ,D ,C ,D ,B ,A ,C ,F ,F ,D 
Harley,Davis,C,D-Celtics,D-RBSL,31,85,300,D ,C ,C+,F-,D+,F+,C+,C-,D-,F-,D ,D+,A ,D+,C+,A ,B+,D ,C ,B ,F ,D ,F ,C ,D ,F ,F ,D ,D 
Lucas,Moore,C,FA,,26,83,285,C ,C ,D+,F-,D-,F+,B ,C-,B ,D ,C ,C-,C-,F+,C-,B-,C-,C ,C ,D ,F ,D ,F ,B ,D ,B ,D ,C ,D 
Chauncey,Baker,C,FA,,29,83,283,D ,D ,B-,F-,D-,D-,F-,C-,C+,F-,F-,C ,C ,F+,D-,B ,C ,D ,D ,B ,F ,D ,D ,F ,D ,C ,F ,F ,C 
Hoyt,Christian,C,D-Mavericks,D-RBSL,31,83,288,D-,C ,C-,F+,D+,F+,B+,C-,C ,F ,D ,C ,F+,F-,F+,C ,C ,F ,C ,C ,F ,D ,F ,B ,D ,C ,F ,D ,C 
