FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,SG,FA,,27,77,208,D+,C+,B-,C ,C ,D+,C ,D+,C+,B-,C+,C+,B-,A ,A ,A-,A-,D ,C ,B ,C ,C ,D ,C ,D ,C ,B ,B ,C 
Mo,Bamba,PF,Pelicans,RBSL,28,83,267,D-,B+,B-,B ,C ,F ,A-,A ,A-,C-,C ,A+,A ,C ,C+,B-,A-,D ,B ,B ,B ,D ,D ,A ,A ,A ,C ,C ,A 
William,Tate,PG,D-Cavs,D-RBSL,26,74,195,C ,C ,C+,C+,C ,F+,F-,F+,F ,C+,D ,D+,B ,A ,C ,C ,A ,C ,C ,B ,B ,C ,F ,F ,F ,F ,C ,D ,D 
Brice,Williams,C,FA,,29,83,279,D+,D-,C ,F-,D-,D ,C-,D ,D+,F+,C-,D ,C ,F-,C ,B-,B+,D ,D ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,30,83,285,D+,D+,C ,F-,D+,D-,C+,C+,C+,F+,D+,C+,A ,F-,C ,B-,C+,D ,D ,C ,F ,D ,F ,C ,B ,B ,F ,D ,C 
Domenic,Cary,C,FA,,33,85,293,F ,C ,C ,F-,D+,F ,D+,C ,D+,F ,D+,D ,C+,F-,D+,A ,D ,F ,D ,C ,F ,D ,F ,D ,C ,D ,F ,D ,D 
James,Mathes,PG,FA,,23,75,172,D ,D-,C ,F+,D ,F ,D+,F+,F-,C ,C ,F-,C-,A ,C ,D+,A-,D ,D ,C ,F ,D ,F ,D ,F ,F ,C ,C ,F 
Mikal,Bridges,SG,Heat,RBSL,28,79,228,F+,C ,B+,A-,C-,D+,D+,C ,C ,B+,B ,C ,C+,B ,C ,B-,A ,D ,C ,A ,A ,D ,D ,D ,C ,C ,B ,B ,C 
Erasmo,Twyman,C,FA,,31,83,280,F ,D ,C-,F-,D-,D-,D+,D+,D+,F ,D+,C-,C-,F-,C-,C-,B ,F ,D ,C ,F ,F ,F ,D ,D ,D ,F ,D ,D 
Marvin,Bagley,PF,Rockets,RBSL,27,83,266,C-,B ,C ,B+,C-,F ,A ,B+,C ,D ,C ,B-,C ,B+,A ,C+,A-,C ,B ,C ,B ,D ,D ,A ,A ,B ,D ,C ,B 
