FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,SF,Trail Blazers,RBSL,28,77,210,D+,C ,C+,C ,C ,D+,C ,C-,C ,B ,C+,C+,B ,A ,A ,B+,A ,D ,C ,B ,C ,C ,D ,C ,D ,C ,B ,C ,C 
Mo,Bamba,C,Pelicans,RBSL,29,83,270,D ,A-,B-,A-,C-,F ,A ,B+,A-,C-,C ,A ,A ,C ,C+,B ,A-,D ,B ,B ,B ,D ,D ,A ,A ,A ,C ,C ,A 
William,Tate,SG,D-Cavs,D-RBSL,27,74,195,C ,C ,C ,C+,C ,F+,F-,D-,F ,C+,D-,D+,B+,A ,C ,C ,A ,C ,C ,C ,B ,C ,F ,F ,F ,F ,C ,D ,D 
Brice,Williams,C,FA,,30,83,281,D+,D ,C ,F-,D-,D ,C-,D ,D+,F+,D+,D ,C-,F-,C-,B-,B+,D ,D ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,31,83,287,D+,D ,C+,F-,D ,D-,C ,B ,B-,F+,D+,C+,A ,F-,C-,C+,C+,D ,D ,C ,F ,D ,F ,C ,B ,B ,F ,D ,B 
James,Mathes,PG,FA,,24,75,176,D ,D-,C ,F ,D+,F ,D+,F ,F-,C ,C ,F-,C-,A ,C ,C-,A+,D ,D ,B ,F ,D ,F ,D ,F ,F ,C ,C ,F 
Mikal,Bridges,SG,Heat,RBSL,29,79,229,F+,C ,A ,A-,C-,D+,C-,C ,C ,B ,B ,C ,C+,B+,C+,B-,A ,D ,C ,A ,A ,D ,D ,D ,C ,C ,B ,B ,C 
Erasmo,Twyman,C,FA,,32,83,281,F ,D-,C-,F-,D-,D-,D ,D+,D ,F ,D+,C-,D+,F-,C-,C-,B+,F ,D ,D ,F ,F ,F ,D ,D ,D ,F ,D ,D 
Marvin,Bagley,PF,Rockets,RBSL,28,83,266,C ,B-,C ,B ,C ,F ,A ,B+,C ,D ,C ,B+,C ,B+,A+,C+,B+,C ,B ,C ,B ,C ,D ,A ,A ,C ,D ,C ,B 
Markelle,Fultz,SG,FA,,34,76,214,C ,B-,C+,B ,B ,C+,D-,C-,D+,C ,C ,C-,B-,A-,C ,C+,A ,C ,B ,A ,B ,B ,C ,F ,D ,D ,C ,C ,D 
Daniel,Martin,C,FA,,31,83,282,C ,D+,B-,F-,F+,F-,F ,D+,D-,F ,F-,D ,F+,F ,C ,C+,D ,C ,D ,B ,F ,F ,F ,F ,D ,F ,F ,F ,D 
Alvin,King,C,D-Hawks,D-RBSL,31,83,282,F+,D+,C ,F-,D ,F+,C-,C ,C+,D+,D ,C ,C-,F ,F+,A-,B ,F ,D ,C ,F ,D ,F ,D ,C ,C ,D ,D ,C 
Wendell,Carter,C,Hawks,RBSL,28,82,277,D+,B-,B-,B-,D+,C+,B ,A-,C+,D ,C-,B-,C-,C-,C ,A-,C+,D ,B ,B ,B ,D ,C ,B ,B ,C ,D ,D ,B 
Monty,Yarborough,C,D-Warriors,D-RBSL,32,83,280,D-,C ,B-,F-,C-,D-,D ,C ,C+,F+,D+,C-,C ,D-,B-,C ,A-,D ,C ,B ,F ,D ,F ,D ,C ,C ,F ,D ,C 
Douglas,Stout,PG,D-Nets,D-RBSL,26,77,216,C-,C+,A-,C ,C ,D-,F+,F-,F+,C ,D+,F+,B+,A-,C-,D+,B-,C ,B ,B ,C ,C ,D ,F ,F ,F ,C ,D ,F 
