FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,SG,Clippers,RBSL,29,77,212,C-,C+,B-,C+,C ,D+,C+,D+,C+,C+,C+,C+,A-,A-,A ,A ,A ,D ,C ,B ,C ,C ,D ,C ,D ,B ,B ,B ,C 
Mo,Bamba,C,Pelicans,RBSL,30,83,278,D+,A-,B-,B+,C ,F ,A-,A-,A-,C ,C ,A+,B+,C ,C+,C+,A-,D ,B ,B ,A ,D ,D ,A ,A ,A ,C ,C ,A 
William,Tate,PG,D-Cavs,D-RBSL,28,74,198,C ,C ,C+,C+,C ,F+,F-,F+,F ,C+,D ,D ,A-,A ,C ,C ,A ,C ,C ,B ,C ,C ,F ,F ,F ,F ,C ,D ,D 
Brice,Williams,C,FA,,32,83,282,D ,D ,C ,F-,D-,D ,D+,D-,D+,F ,D+,D ,C ,F-,C ,C+,B ,D ,D ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,33,83,289,D ,D ,C ,F-,D+,D-,C ,B-,C ,F+,D ,C+,A+,F-,D+,C+,B-,D ,D ,C ,F ,D ,F ,C ,B ,C ,F ,D ,C 
Wilfredo,Nichols,PG,Hawks,RBSL,23,77,156,D+,C+,C ,D+,A-,C ,D+,B+,F+,B-,D+,F+,B-,A ,C ,A-,C+,D ,B ,C ,C ,A ,A ,D ,A ,D ,B ,C ,D 
James,Mathes,PG,FA,,26,75,178,D-,D-,C ,F ,D ,F ,D ,F ,F-,C ,C-,F-,C-,A ,C ,C ,A+,D ,F ,C ,F ,D ,F ,D ,F ,F ,D ,D ,F 
Mikal,Bridges,SF,Clippers,RBSL,31,79,229,F+,C ,A-,B+,C-,D+,D+,C ,C ,B ,B-,C ,B-,B ,C ,B-,A+,D ,C ,A ,B ,D ,D ,D ,C ,C ,B ,B ,C 
Erasmo,Twyman,C,FA,,33,83,282,F ,D-,C-,F-,D-,F+,D ,D ,D ,F ,D ,D+,D+,F-,D ,C-,B-,F ,F ,D ,F ,F ,F ,D ,D ,D ,F ,D ,D 
Marvin,Bagley,PF,Rockets,RBSL,29,83,271,C ,C+,C+,B+,C ,F+,A ,A-,C+,D ,C ,B ,C+,B+,A ,B-,A ,C ,B ,B ,B ,C ,D ,A ,A ,B ,D ,C ,B 
Markelle,Fultz,PG,Pacers,RBSL,35,76,218,C ,C+,B-,C ,C+,C ,D-,D+,D ,C ,C ,D+,B ,B ,C-,C ,A-,C ,B ,B ,C ,B ,C ,F ,D ,D ,D ,C ,D 
Daniel,Martin,C,FA,,33,83,284,C-,D ,B-,F-,F+,F-,F ,D ,D-,F ,F-,D ,F+,F-,D+,C+,D+,D ,D ,B ,F ,F ,F ,F ,D ,F ,F ,F ,D 
