FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,SG,Timberwolves,RBSL,26,77,208,D+,C ,B-,C ,C ,D+,C ,C-,C+,B-,C+,C+,B ,A-,A ,A-,A-,D ,C ,B ,C ,C ,D ,C ,D ,C ,B ,C ,C 
Mo,Bamba,PF,Pelicans,RBSL,27,83,267,D ,B+,B-,B ,C-,F ,A ,A-,A-,C-,C ,A+,A ,C ,B-,B-,A ,D ,B ,B ,B ,D ,D ,A ,A ,A ,C ,C ,A 
William,Tate,PG,FA,,25,74,195,C ,C ,C ,B-,C ,F+,F-,F+,F ,B-,D ,D+,B+,A ,C ,C ,A ,D ,C ,C ,B ,C ,F ,F ,F ,F ,B ,D ,D 
Brice,Williams,C,FA,,29,83,279,D+,D ,C ,F-,D ,D ,C-,D ,C-,F+,D+,D ,C-,F-,C-,B-,B+,D ,D ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,30,83,285,D+,D+,C ,F-,D+,D-,C ,A-,C+,F+,D+,C+,A ,F-,C ,C+,C+,D ,D ,C ,F ,D ,F ,C ,B ,B ,F ,D ,C 
Domenic,Cary,C,FA,,32,85,293,F ,C ,C ,F-,D+,F ,C-,C ,D ,F ,C-,D ,B-,F-,D+,A ,D ,F ,D ,C ,F ,D ,F ,D ,C ,D ,F ,D ,D 
James,Mathes,PG,FA,,23,75,172,D-,D-,C+,F ,D+,F+,D+,F+,F-,C ,C ,F-,C-,A ,C ,D+,A-,D ,D ,C ,F ,D ,F ,D ,F ,F ,C ,C ,F 
Mikal,Bridges,SG,Heat,RBSL,28,79,228,F+,C ,A-,B+,C-,D+,D+,C ,C ,A-,B-,C ,C+,B ,C+,B ,A ,D ,C ,A ,A ,D ,D ,D ,C ,C ,A ,B ,C 
Erasmo,Twyman,C,FA,,31,83,280,F ,D ,C-,F-,D-,D-,D+,C-,D+,F ,D+,C-,C-,F-,C-,C-,B ,F ,D ,D ,F ,F ,F ,D ,D ,D ,F ,D ,D 
Marvin,Bagley,PF,Rockets,RBSL,27,83,266,C-,C+,C ,B ,C-,F ,A ,B ,C ,D ,C ,B+,C ,B+,A ,C+,A-,C ,C ,C ,B ,C ,D ,A ,A ,B ,D ,C ,B 
Markelle,Fultz,PG,Clippers,RBSL,32,76,214,C ,B ,C+,B ,B ,C+,D-,C-,D+,C+,C ,C-,B-,A-,C ,C+,A+,C ,B ,A ,B ,B ,C ,D ,D ,D ,C ,C ,D 
