FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,SG,Trail Blazers,RBSL,28,77,211,D+,C ,B-,C+,C ,D+,C ,C-,C ,B-,C+,C ,B+,A ,A+,A-,A ,D ,C ,B ,C ,C ,D ,C ,D ,C ,B ,C ,C 
Mo,Bamba,C,Pelicans,RBSL,29,83,274,D ,A-,C+,B ,C-,F ,A-,B+,A-,C ,C ,A ,A ,C ,C+,C+,A-,D ,B ,B ,B ,D ,D ,A ,B ,A ,C ,C ,A 
William,Tate,PG,D-Cavs,D-RBSL,27,74,197,C ,C ,C ,C+,C ,F+,F-,F+,F ,C ,D ,D+,A-,A ,C ,C ,A+,C ,C ,B ,B ,C ,F ,F ,F ,F ,C ,D ,D 
Brice,Williams,C,FA,,31,83,281,D+,D-,C ,F-,D ,D ,C-,D ,D+,F ,C-,D-,C ,F-,C ,B ,A-,D ,D ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,32,83,287,D ,D ,C+,F-,D+,D-,C ,B-,C+,F+,D ,C+,A ,F-,D+,C+,C+,D ,D ,C ,F ,D ,F ,C ,B ,C ,F ,D ,C 
Wilfredo,Nichols,PG,Draft,,22,77,155,D ,C ,C ,D ,B-,C-,D+,B-,F+,C+,D+,F+,C+,A ,C ,A-,B-,D ,B ,C ,C ,B ,A ,D ,B ,D ,A ,C ,D 
James,Mathes,PG,FA,,25,75,177,D-,D-,C ,F ,D ,F ,D ,F ,F-,C ,C-,F-,C-,A ,C ,C-,A+,F ,D ,C ,F ,D ,F ,D ,F ,F ,D ,D ,F 
Mikal,Bridges,SF,Rockets,RBSL,30,79,229,D-,C ,A-,B+,C-,D+,D+,C ,C ,B ,B+,C ,B-,B-,C+,C+,A+,D ,C ,A ,A ,D ,D ,D ,C ,C ,B ,B ,C 
Erasmo,Twyman,C,FA,,33,83,281,F ,D-,D+,F-,D-,D-,D ,D+,D ,F ,D+,C-,D+,F-,D ,C-,B+,F ,D ,D ,F ,F ,F ,D ,D ,D ,F ,D ,D 
Marvin,Bagley,PF,Rockets,RBSL,29,83,269,C ,B ,C ,B+,C ,F+,A+,A ,C+,D ,C ,B+,C ,B-,A ,C+,A-,C ,B ,C ,B ,C ,D ,A ,A ,B ,D ,C ,B 
Markelle,Fultz,SG,Spurs,RBSL,34,76,216,C ,C+,B-,C+,B ,C ,D-,C-,D ,C ,C ,C-,B+,A-,C ,C ,A ,C ,B ,A ,C ,B ,C ,F ,D ,D ,C ,C ,D 
Daniel,Martin,C,FA,,32,83,283,C-,D+,B ,F-,F+,F-,F ,D ,D-,F ,F-,D ,F+,F-,C-,B-,D ,D ,D ,B ,F ,F ,F ,F ,D ,F ,F ,F ,D 
Abe,Harrington,PG,Draft,,21,75,152,F+,D+,B-,C-,D-,D-,F ,F+,F ,C-,F-,F ,C-,A-,D ,C-,C ,D ,B ,B ,B ,D ,D ,F ,D ,F ,B ,F ,D 
Alvin,King,C,D-Hawks,D-RBSL,32,83,282,F+,D ,C ,F-,D+,F+,D+,C ,C+,D ,D ,C ,C-,F-,F ,A-,B ,F ,D ,C ,F ,D ,F ,D ,C ,C ,D ,D ,C 
César,Lianos,PG,Draft,,21,76,193,F+,C-,B ,D ,C ,D ,F-,F+,F ,C ,F ,F+,C+,B ,C-,C ,A-,F ,B ,B ,C ,C ,C ,F ,F ,F ,B ,F ,F 
Wendell,Carter,C,Hawks,RBSL,29,82,279,D+,C+,B-,B ,C-,C ,B+,A ,C+,D ,C-,B-,C-,C-,C-,A+,B-,D ,C ,B ,B ,D ,B ,B ,A ,C ,D ,D ,B 
Monty,Yarborough,PF,D-Warriors,D-RBSL,33,83,280,D ,C ,C+,F-,C-,F+,D-,C ,B-,F+,D ,C ,C ,D-,C+,C+,A ,D ,C ,B ,F ,D ,F ,D ,C ,B ,F ,D ,D 
Douglas,Stout,SG,D-Nets,D-RBSL,27,77,218,C-,B-,A-,C ,C+,D-,F+,F ,F+,C ,D+,F ,A-,A-,C-,C-,B+,D ,B ,A ,C ,C ,D ,F ,F ,F ,C ,D ,F 
Oldrich,Luba,C,Timberwolves,RBSL,32,87,297,D ,D+,B ,F-,C-,C ,A+,A ,B+,C+,D+,A+,A+,D ,C ,C+,B ,D ,D ,B ,F ,D ,C ,A ,A ,B ,C ,D ,A 
Cristobal,Williams,PG,FA,,22,76,210,D ,D ,C ,D ,C+,C-,F ,D-,D ,C-,D ,F-,F+,A-,D ,C-,B+,D ,D ,C ,D ,C ,D ,F ,F ,D ,D ,D ,F 
Andrew,Medley,PG,Draft,,22,72,210,F ,C ,C+,C ,D ,F ,D+,D ,D+,C-,C-,D ,F+,A ,C ,F-,A-,F ,B ,B ,A ,C ,F ,C ,C ,C ,B ,B ,D 
Rudolph,Wolf,C,D-Pistons,D-RBSL,26,86,274,D-,D ,B-,F-,D ,D-,D+,C ,C ,F-,F+,C-,D-,F ,C-,B ,C+,D ,D ,B ,F ,D ,F ,D ,C ,C ,F ,F ,D 
John,Faulkner,PG,D-Knicks,D-RBSL,26,77,188,F+,C-,B-,D+,C ,D ,D ,D-,F-,C-,C+,F-,A-,A-,D+,B-,B+,F ,C ,B ,D ,C ,D ,D ,F ,F ,C ,C ,F 
Arden,Moses,C,D-76ers,D-RBSL,33,83,288,D-,C ,D ,F-,C-,D ,C+,C ,C-,D-,D+,D ,C-,F-,D-,C+,B-,F ,D ,D ,F ,D ,D ,C ,C ,D ,F ,D ,D 
Chris,Adams,C,FA,,26,84,282,D-,C-,C+,F-,D-,D ,C ,C-,C ,F ,F-,C+,C-,F ,D-,A ,C ,D ,C ,B ,F ,D ,D ,C ,C ,C ,F ,F ,C 
Justin,Graves,C,D-Mavericks,D-RBSL,31,83,282,D-,D-,C ,F-,D+,D ,D-,C ,C ,F ,D ,C-,B+,D-,C ,C+,A-,F ,F ,C ,F ,D ,D ,D ,C ,C ,F ,D ,C 
Michael,Porter Jr.,PF,Bulls,RBSL,28,82,240,D ,C+,A-,C+,C-,D ,C-,D ,D+,D+,C ,C-,A-,B+,B-,B ,A-,D ,C ,A ,C ,C ,D ,D ,D ,D ,D ,C ,D 
Gil,De Urquiza,PG,FA,,25,74,185,D-,D ,B-,D-,C ,D ,F ,F ,F-,D-,D+,F-,B ,B+,C-,B ,B+,F ,D ,B ,D ,D ,D ,F ,F ,F ,D ,D ,F 
Donald,Kahler,PG,D-Nuggets,D-RBSL,27,71,181,D-,B-,C+,C+,C ,D-,F+,D ,F+,B-,C-,F ,A-,B ,C ,C ,B-,D ,B ,B ,C ,C ,F ,F ,D ,F ,B ,D ,F 
Hoyt,White,PG,FA,,24,72,174,F ,A-,A-,F+,A-,F ,F-,F ,F ,D-,B ,F-,C-,A-,D+,C-,B-,F ,A ,A ,F ,B ,F ,F ,F ,F ,D ,B ,F 
Kendrick,Delacruz,C,FA,,33,87,308,F+,D-,C-,F-,D-,F+,D-,D-,D+,F ,F ,D+,C+,F-,D-,A ,B ,F ,F ,C ,F ,F ,F ,F ,F ,D ,F ,F ,D 
Loren,Whitaker,PF,D-Knicks,D-RBSL,34,82,276,F ,C-,D ,F-,C-,F+,C ,C+,C-,D-,D ,B ,A ,D-,C ,C ,F+,F ,D ,D ,F ,D ,F ,C ,B ,D ,D ,D ,B 
William,Chasse,PG,Draft,,17,71,198,F+,C ,A-,D-,C ,D+,D-,C-,D+,C+,B-,D-,C-,A ,A ,C-,A-,F ,B ,A ,D ,C ,D ,D ,C ,D ,B ,A ,D 
Matt,Marsh,C,FA,,32,82,280,F+,D+,F+,F-,C-,D ,F ,D-,C+,F+,D ,C+,C-,F-,F ,B ,B-,F ,D ,F ,F ,D ,D ,F ,D ,B ,F ,D ,C 
Zion,Williamson,PF,Magic,RBSL,20,79,286,C ,D+,C-,C ,C ,D ,C+,C ,B ,C-,C+,B-,A ,C+,A ,A ,B+,B ,C ,C ,B ,C ,D ,B ,A ,B ,C ,B ,B 
Waldo,Hesse,C,FA,,33,85,301,D-,D+,C+,F-,D-,F+,F+,D ,C ,D-,C ,D ,D ,F-,C-,A+,C ,F ,D ,B ,F ,F ,F ,F ,D ,D ,F ,C ,D 
Vincent,Laguna,PG,D-Mavericks,D-RBSL,26,73,182,D+,B-,B+,F-,C ,D+,F ,D+,F ,B ,C ,F ,B ,A ,C ,C ,A ,D ,B ,A ,F ,C ,D ,F ,D ,F ,B ,C ,F 
Charles,Hammel,PG,D-Jazz,D-RBSL,28,74,203,F+,C ,A-,D+,B+,C ,F-,D ,F-,C+,C ,F+,F-,A-,C+,B+,A ,F ,C ,B ,D ,B ,C ,F ,D ,F ,C ,C ,F 
Nacio,Escriva,C,D-Timberwolves,D-RBSL,36,84,295,C ,C ,B+,F+,C ,D-,C ,B ,C ,F ,F+,C-,C-,F-,D+,A-,D-,C ,C ,A ,F ,C ,D ,C ,B ,C ,F ,F ,D 
Harley,Davis,C,FA,,34,85,306,D-,C-,B-,F-,D+,F ,C ,C-,F+,F-,D ,D ,A ,D-,C+,A ,B-,D ,D ,B ,F ,D ,F ,C ,D ,F ,F ,D ,D 
Lucas,Moore,C,D-Knicks,D-RBSL,29,83,289,C ,C ,D ,F-,D-,D-,B ,C-,B-,D ,C+,C-,C ,F+,C-,C+,C ,C ,C ,D ,F ,D ,F ,B ,C ,B ,D ,C ,D 
Chauncey,Baker,C,FA,,31,83,287,D-,C-,B ,F-,D ,D ,F-,C-,C ,F ,F-,C ,C ,F-,F+,B-,C ,D ,D ,B ,F ,D ,D ,F ,D ,C ,F ,F ,C 
Hoyt,Christian,C,FA,,33,83,292,F+,C-,C ,F ,C-,F+,C+,D+,C-,F ,D+,C ,F+,F-,F-,C ,C ,F ,C ,C ,F ,D ,F ,C ,D ,C ,F ,D ,C 
Joseph,Warnock,C,D-Lakers,D-RBSL,30,81,267,B ,C-,B ,D-,D+,F+,C+,D-,D-,F+,D-,C-,C-,F ,D+,A ,C+,B ,C ,B ,D ,D ,F ,C ,D ,D ,F ,F ,D 
Bryant,Baker,PG,Draft,,19,72,160,C ,C ,A ,D-,C ,D ,D-,D-,F+,B-,C-,D-,F ,A ,B ,F-,C ,A ,A ,A ,D ,A ,C ,D ,D ,D ,A ,C ,D 
Michael,Jones,PG,Magic,RBSL,26,72,174,A ,C ,A ,A-,C ,C+,C ,D ,F+,F+,D+,F-,C ,A ,D-,B-,A-,A ,C ,A ,B ,C ,B ,C ,D ,F ,F ,C ,F 
Pascual,Alkorta,PF,Raptors,RBSL,35,85,303,C ,C-,C+,D-,C+,C ,B-,B-,B-,D+,C-,B ,B ,F-,F-,A-,B ,D ,D ,B ,F ,C ,C ,B ,B ,B ,D ,D ,B 
Andrew,Fawcett,SG,FA,,23,77,207,D-,D-,C+,D-,D+,F+,F ,F ,F ,C-,F ,F ,C ,B ,D-,C+,C+,D ,D ,C ,D ,C ,D ,F ,F ,F ,C ,F ,F 
Deandre,Ayton,C,Thunder,RBSL,28,85,302,B+,A-,C+,F+,C ,C ,A-,A ,C+,C ,C-,A-,B-,B-,A-,A ,A+,B ,A ,B ,C ,C ,C ,A ,A ,C ,C ,D ,B 
Ja,Morant,PG,Knicks,RBSL,21,75,175,C ,C+,B-,C ,B-,C+,F-,F+,F ,C ,C ,F+,A ,A ,A-,C-,A+,B ,B ,A ,B ,B ,B ,F ,D ,D ,B ,C ,D 
Carlton,Baker,SG,D-Lakers,D-RBSL,25,75,185,D ,C-,C ,D+,C ,C-,D-,D-,F+,B ,D+,F+,C ,A ,C ,C+,A-,D ,D ,B ,D ,C ,D ,F ,F ,F ,B ,D ,F 
Thad,Boudreaux,SF,Nuggets,RBSL,23,80,237,C+,C ,B-,C+,C ,D+,B-,C+,B ,D-,D ,D ,A ,A-,B-,C ,A ,B ,C ,B ,B ,B ,C ,A ,B ,A ,C ,D ,D 
Jose,Goodwin,C,D-Pelicans,D-RBSL,31,85,300,C-,C-,B ,F-,F+,D ,A-,C-,C ,F ,F+,C ,B-,F+,C ,A-,C ,D ,D ,B ,F ,F ,D ,B ,D ,C ,F ,F ,C 
John,Morris,C,D-Clippers,D-RBSL,34,85,300,D-,C-,C-,F-,D+,F ,C ,B-,C-,F ,D-,C ,D+,F-,D ,A+,C-,D ,D ,C ,F ,D ,F ,C ,B ,D ,F ,F ,C 
Chris,Stephens,C,FA,,33,84,284,D-,D+,C+,F-,F-,F-,C-,D-,C-,F-,F ,C-,C ,D-,D ,C+,C ,D ,D ,B ,F ,F ,F ,C ,F ,D ,F ,F ,D 
Thomas,Evans,PG,FA,,27,72,212,D-,C+,B+,F+,C ,D ,D+,D-,F-,D+,D+,F ,B+,A-,C-,C ,A+,F ,C ,A ,F ,C ,D ,D ,F ,F ,D ,D ,F 
RJ,Barrett,SF,Raptors,RBSL,20,79,205,C ,D ,C ,C+,C ,C-,F ,C ,D ,C ,F ,F ,A-,B+,C+,C-,A+,B ,C ,C ,B ,C ,C ,D ,B ,C ,C ,D ,D 
Daniel,Bond,C,76ers,RBSL,37,83,290,D+,C-,A-,F-,C ,C-,B-,C ,C ,C ,C-,B ,A+,D ,F+,C ,C-,D ,D ,B ,F ,C ,D ,B ,C ,C ,C ,D ,B 
Vasya,Krishtoforich,PG,D-Pistons,D-RBSL,29,72,174,F-,A ,A+,C-,B ,D ,F ,F-,F-,C ,C+,F ,A-,A-,C-,F+,A ,F ,A ,A ,D ,B ,D ,F ,F ,F ,C ,C ,F 
DeAndre,Hunter,SF,Nets,RBSL,21,79,226,D-,C ,C+,B-,D+,D-,F ,F+,D+,C ,F-,F ,B+,C+,C ,C ,A-,D ,B ,B ,A ,C ,D ,D ,D ,C ,B ,F ,D 
William,Gonzales,PG,Draft,,20,73,171,D-,C ,B ,C-,C ,C-,D-,F-,F-,C ,C-,F ,C+,B ,C-,C+,C-,F ,C ,B ,C ,B ,C ,D ,F ,F ,C ,C ,F 
Jeffrey,Chee,C,D-Heat,D-RBSL,25,83,275,C ,C-,C-,F+,F+,F ,D-,C ,C+,F ,F+,D+,A-,C-,C+,C+,B+,C ,C ,D ,F ,D ,F ,F ,C ,B ,F ,D ,C 
Man,Dilley,PF,Pistons,RBSL,33,83,287,C+,D ,B-,F-,C ,D ,B+,B-,A-,C ,C ,A-,F-,C-,C-,C+,B ,B ,D ,B ,F ,C ,D ,B ,B ,A ,C ,C ,A 
Jerrell,Snider,SG,Grizzlies,RBSL,24,76,212,F ,C+,B+,D ,D+,D ,F+,F+,F ,A-,B-,F ,A-,A-,C ,C+,B+,F ,B ,B ,D ,D ,D ,F ,D ,F ,A ,B ,F 
Darius,Garland,PG,Warriors,RBSL,21,74,177,D+,B ,B-,B ,C ,D+,F ,D-,F+,C ,D-,F+,B ,A ,B ,D+,A ,D ,B ,B ,B ,C ,D ,F ,D ,F ,C ,D ,D 
Dudley,Hooper,PF,D-Clippers,D-RBSL,31,84,296,D+,C ,C ,F-,C-,D-,F+,C-,C+,F ,F+,C ,C ,F-,D ,A-,C-,D ,C ,C ,F ,D ,D ,F ,D ,C ,F ,F ,C 
