FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,SF,Lakers,RBSL,26,77,208,D+,C ,C+,C ,C ,D+,C ,D+,B-,C+,B-,C+,B+,A ,A ,A-,A-,D ,C ,B ,B ,C ,D ,C ,D ,B ,B ,B ,C 
Mo,Bamba,C,Pelicans,RBSL,27,83,267,D-,B+,B-,B+,C-,F ,A ,B+,A-,C-,C-,A ,A ,C ,B-,B-,A ,D ,B ,B ,B ,D ,D ,A ,B ,A ,C ,C ,A 
William,Tate,PG,FA,,25,74,195,C ,C ,C ,C+,C ,F+,F ,F+,F+,C+,D-,D ,A-,A ,C ,C ,A ,C ,C ,C ,B ,C ,F ,F ,F ,F ,C ,D ,D 
Brice,Williams,C,FA,,29,83,279,D+,D ,C ,F-,D ,D ,C-,D ,D+,F+,D+,D ,C ,F ,C ,B-,B ,D ,D ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,30,83,285,D ,D+,C ,F-,D ,D-,C+,B ,B-,F+,D+,C+,A-,F-,C ,C+,C+,D ,D ,C ,F ,D ,D ,C ,B ,B ,F ,D ,C 
Domenic,Cary,C,FA,,32,85,293,F ,C-,C ,F-,D+,F ,C-,C ,D ,F ,C-,D ,B-,F-,D+,A-,D+,F ,D ,C ,F ,D ,F ,D ,C ,D ,F ,D ,D 
James,Mathes,PG,FA,,23,75,172,D-,D ,C+,F+,D+,F+,D+,F ,F-,C ,C ,F-,C-,A ,C ,D+,A ,D ,D ,C ,F ,D ,F ,D ,F ,F ,C ,C ,F 
Mikal,Bridges,SF,Heat,RBSL,28,79,228,F+,C ,A-,A ,C-,D+,D+,C ,C ,B ,A-,C ,B-,B ,C+,C+,A ,D ,C ,A ,A ,D ,D ,D ,C ,C ,B ,B ,C 
Erasmo,Twyman,C,FA,,30,83,280,F ,D ,C-,F-,D-,D-,D ,C-,D+,F ,D+,C-,C-,F-,C-,C-,B+,F ,D ,D ,F ,F ,F ,D ,D ,D ,F ,D ,D 
Marvin,Bagley,SF,Rockets,RBSL,26,83,266,C ,C+,C ,B ,C ,F ,A+,A-,C ,D ,C ,B+,C ,A-,A+,C+,B+,C ,B ,B ,B ,C ,D ,A ,A ,B ,D ,C ,B 
Markelle,Fultz,PG,Clippers,RBSL,32,76,214,C+,B ,B ,B-,B ,B-,D-,C-,D+,C ,C+,C-,B ,A-,C ,C ,A+,C ,B ,B ,B ,B ,B ,F ,D ,D ,C ,C ,D 
Daniel,Martin,C,FA,,30,83,281,C ,D+,B-,F-,F+,F-,F ,D+,D-,F ,F-,D ,F+,F ,C ,C+,D+,C ,D ,B ,F ,F ,F ,F ,D ,F ,F ,F ,D 
Trevor,Lucas,PF,FA,,33,83,274,D ,D ,B ,F-,D ,F-,D+,D-,C ,F-,F ,F ,F ,F ,D ,B ,A-,D ,D ,B ,F ,D ,F ,D ,D ,C ,F ,F ,F 
Alvin,King,C,D-Hawks,D-RBSL,29,83,281,F+,D ,C ,F-,D ,F+,C-,C ,C+,D+,D ,C ,C-,F+,F+,A-,B-,F ,D ,C ,F ,D ,F ,D ,C ,C ,D ,D ,C 
Travis,McGregor,C,FA,,32,84,298,D ,D ,C ,F-,F+,F ,D+,D ,D ,F ,F-,D+,C+,F-,D+,A+,C ,D ,D ,B ,F ,F ,F ,D ,D ,D ,F ,F ,D 
Wendell,Carter,C,Hawks,RBSL,26,82,276,D+,C+,B-,B ,C-,C+,B+,A ,C+,D ,C ,B ,C-,C-,C ,A ,B ,D ,B ,B ,B ,D ,C ,B ,A ,C ,D ,D ,B 
Monty,Yarborough,C,D-Warriors,D-RBSL,31,83,278,D-,C+,C+,F-,C-,D-,D-,C ,B-,F+,D+,C ,C ,D-,C+,C+,A-,D ,C ,C ,F ,D ,D ,D ,C ,B ,F ,D ,C 
Douglas,Stout,PG,D-Nets,D-RBSL,25,77,216,C-,C+,A-,C ,C ,D-,F+,F-,F+,C ,D ,F ,B+,B+,C-,D+,C+,D ,C ,A ,C ,C ,D ,F ,F ,F ,C ,D ,F 
Oldrich,Luba,C,Timberwolves,RBSL,30,87,293,D+,D+,B+,F-,C-,C ,A+,A ,A-,C+,D+,A+,A+,C-,B-,B-,B+,D ,D ,A ,F ,D ,C ,A ,A ,A ,B ,D ,A 
Cristobal,Williams,PG,Draft,,20,76,208,D ,D ,C ,D-,C+,C-,F ,D-,D ,C ,D ,F-,D-,B ,D ,D+,B ,D ,D ,C ,D ,B ,C ,F ,D ,D ,C ,D ,F 
Scott,Magill,C,D-Bucks,D-RBSL,33,80,254,D+,C+,A-,F+,D ,F ,D-,D ,C ,F ,F+,C+,C ,F ,C+,B+,B ,D ,C ,A ,F ,D ,F ,D ,D ,C ,F ,F ,B 
Rudolph,Wolf,C,D-Pistons,D-RBSL,23,86,258,D-,D ,C ,F-,D-,F+,D ,C ,C ,F-,F+,C-,D-,F ,D+,C+,C+,D ,D ,B ,F ,D ,D ,D ,C ,B ,F ,F ,D 
John,Faulkner,PG,FA,,23,77,186,F+,C-,A-,D+,C ,D ,D ,D-,F-,C-,C ,F-,B+,A-,D ,C+,B+,F ,D ,B ,D ,C ,D ,D ,F ,F ,D ,C ,F 
Arden,Moses,C,D-76ers,D-RBSL,31,83,285,D-,C ,D ,F-,C-,D ,C+,C ,C ,D-,C-,D ,C-,F ,D-,C+,B+,F ,C ,D ,F ,D ,D ,C ,C ,C ,D ,D ,D 
Chris,Adams,C,FA,,23,84,268,F+,C-,C+,F-,D-,D-,C ,D+,C-,F ,F-,C+,C-,F ,D-,B+,C ,D ,C ,C ,F ,F ,D ,C ,D ,D ,F ,F ,C 
Justin,Graves,C,D-Mavericks,D-RBSL,29,83,279,D-,F+,C ,F-,D+,D ,D-,C ,C ,F ,D ,C-,A-,D ,C+,B ,A ,F ,F ,C ,F ,D ,D ,D ,C ,C ,F ,D ,D 
Michael,Porter Jr.,SF,Bulls,RBSL,26,82,238,D ,C ,A-,C ,C ,D ,C-,D+,D ,D+,C ,C-,A-,B ,B ,B-,A ,D ,C ,A ,C ,C ,D ,D ,D ,D ,D ,C ,D 
Gil,De Urquiza,PG,FA,,23,74,184,D ,C-,B-,D+,C+,C-,F+,F ,F-,D ,C-,F-,A-,B ,C-,B-,B+,D ,D ,B ,D ,B ,D ,F ,F ,F ,D ,C ,F 
Donald,Kahler,PG,D-Nuggets,D-RBSL,25,71,179,D-,C+,C+,C+,C ,F+,F+,D-,F+,A-,D+,F ,A-,A-,C ,C ,C+,D ,B ,B ,B ,C ,F ,F ,D ,F ,A ,C ,F 
Hoyt,White,PG,FA,,22,72,172,F ,A-,A-,F ,C+,F ,F-,F ,F ,F+,C ,F-,D+,B+,D+,D+,C ,F ,A ,A ,F ,B ,F ,F ,F ,F ,D ,C ,F 
Kendrick,Delacruz,C,FA,,30,87,305,F+,D-,C-,F-,D-,D-,D-,D ,C-,F ,F+,D+,B-,F ,D+,A ,B ,F ,D ,D ,F ,F ,F ,F ,D ,D ,F ,F ,D 
Loren,Whitaker,C,D-Knicks,D-RBSL,31,82,273,F ,C-,D ,F-,C-,F+,C+,B+,C ,D ,D-,B ,A-,D-,C+,B ,F+,F ,C ,D ,F ,D ,F ,C ,B ,C ,D ,D ,B 
Alvaro,Parker,C,FA,,33,84,291,D ,F ,D+,F-,F ,F+,F+,C-,C ,F ,D ,D ,D+,F-,C-,A-,C ,D ,F ,D ,F ,F ,F ,F ,D ,D ,F ,D ,D 
Matt,Marsh,C,FA,,30,82,278,D-,C-,F+,F-,C-,D ,F+,D ,B ,F+,D+,C ,C-,F-,D-,B+,B ,F ,D ,F ,F ,D ,D ,F ,D ,B ,F ,D ,B 
