FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,PF,Nuggets,RBSL,30,77,212,C-,C ,B-,C+,C ,D+,C ,D+,B-,C+,C+,C+,B ,A ,A ,A-,A ,D ,C ,B ,C ,C ,D ,C ,D ,B ,B ,C ,C 
Mo,Bamba,C,Rockets,RBSL,31,83,280,D+,B+,B+,A-,C-,F ,A ,A-,A-,C ,C ,A+,A-,C ,C ,C+,A-,D ,B ,B ,B ,D ,D ,A ,A ,B ,C ,C ,A 
William,Tate,PG,D-Cavs,D-RBSL,29,74,199,C ,C ,C+,B-,C ,F+,F-,F+,F ,B-,D ,D ,A-,A ,C ,C ,A ,C ,C ,C ,B ,C ,F ,F ,F ,F ,B ,D ,D 
Brice,Williams,C,FA,,33,83,282,D ,D-,C ,F-,D-,D ,D+,D-,D ,F ,D+,D-,C-,F-,C ,B-,B+,D ,F ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,34,83,290,D ,D ,C+,F-,D+,F+,C ,C+,C ,F+,D ,C ,A ,F-,D+,C+,C+,D ,D ,C ,F ,D ,F ,C ,C ,C ,F ,D ,C 
Wilfredo,Nichols,PG,Hawks,RBSL,23,77,161,C-,C+,C ,D ,B+,C ,C-,B+,F+,C+,D+,F+,B-,A+,C ,A ,B ,D ,B ,C ,C ,A ,A ,D ,A ,D ,A ,C ,D 
James,Mathes,PG,FA,,26,75,179,D-,F+,C+,F ,D ,F ,D ,F ,F-,C-,C-,F-,C-,A ,C ,C ,A ,F ,F ,C ,F ,D ,F ,D ,F ,F ,D ,D ,F 
Mikal,Bridges,SF,Pelicans,RBSL,32,79,230,F+,C ,A ,A-,C-,D ,D+,C ,C ,B+,B ,C ,C+,B-,C-,B-,A ,F ,D ,A ,B ,D ,D ,D ,D ,D ,B ,B ,C 
Cyril,Hall,PG,Draft,,21,73,190,F+,D ,B-,D ,C ,D-,F-,F ,F-,F ,C ,F-,C-,A-,C+,C-,A-,F ,C ,B ,C ,C ,C ,F ,F ,F ,F ,C ,F 
Marvin,Bagley,PF,Rockets,RBSL,30,83,273,C ,B-,C ,A-,C ,F+,A+,A-,B-,D+,C ,B+,C ,B ,A ,C+,B+,C ,B ,C ,B ,C ,D ,A ,B ,B ,D ,C ,B 
Markelle,Fultz,PG,Raptors,RBSL,36,76,219,C-,C+,B ,C ,B+,C ,D-,D+,D ,C ,C ,D+,B ,B ,C-,C ,A-,D ,C ,B ,C ,B ,C ,F ,D ,D ,C ,C ,D 
Arthur,Oh,PG,Draft,,20,75,187,D ,D ,B ,F ,D ,C ,D ,F-,F-,F+,B-,F-,F-,B ,C-,F-,C+,D ,C ,B ,F ,D ,B ,D ,F ,F ,F ,B ,F 
Abe,Harrington,PG,D-Pistons,D-RBSL,23,75,168,F+,C-,B ,C ,D ,D ,F ,F ,F ,C-,F ,F+,C ,A-,D+,C-,C ,D ,C ,B ,C ,D ,D ,F ,D ,F ,C ,F ,D 
Alvin,King,C,D-Hawks,D-RBSL,33,83,284,F+,D-,C+,F-,D ,F ,D ,C ,C ,D ,D-,C ,C-,F-,F-,A-,B-,F ,D ,C ,F ,D ,F ,D ,C ,C ,D ,D ,C 
