FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,PG,Clippers,RBSL,29,77,212,C-,C+,B-,C ,C ,C-,C+,D+,C+,C+,C+,C+,A-,A-,A ,A ,A ,D ,C ,B ,B ,C ,D ,C ,D ,C ,B ,B ,C 
Mo,Bamba,C,Pelicans,RBSL,30,83,278,C-,B+,B+,A-,C-,F ,A-,B+,A-,C-,C ,A+,A-,C ,C ,B-,A-,D ,B ,B ,B ,D ,D ,A ,A ,A ,C ,C ,A 
William,Tate,PG,D-Cavs,D-RBSL,28,74,198,C ,C ,C ,C+,C ,F+,F-,D-,F+,C+,D ,D ,B+,A-,C ,C ,A ,C ,C ,C ,B ,C ,F ,F ,F ,F ,C ,D ,D 
Brice,Williams,C,FA,,32,83,282,D ,D ,C ,F-,D ,D ,D+,D ,D+,F+,D+,D ,C ,F-,C ,C ,B ,D ,D ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,33,83,289,D ,D ,C ,F-,D+,F+,C ,B-,C ,F+,D ,C ,A ,F-,D+,C+,C+,D ,D ,C ,F ,D ,F ,C ,B ,C ,F ,D ,C 
Wilfredo,Nichols,SG,Hawks,RBSL,22,77,156,D+,C ,C ,D+,A-,C ,D+,B+,F+,B-,D+,F+,B-,A+,C ,A-,C+,D ,B ,C ,C ,A ,A ,D ,A ,D ,A ,C ,D 
James,Mathes,PG,FA,,26,75,178,D-,D-,C+,F ,D ,F ,D ,F ,F-,C ,C-,F-,C-,A ,C ,C-,A+,F ,F ,C ,F ,D ,F ,D ,F ,F ,D ,D ,F 
Mikal,Bridges,SF,Clippers,RBSL,31,79,229,F+,C ,A-,A-,C-,D+,D+,C ,C ,B ,B ,C ,B-,C+,C ,B-,A ,D ,C ,A ,A ,D ,D ,D ,C ,C ,B ,B ,C 
Erasmo,Twyman,C,FA,,33,83,282,F ,D-,C-,F-,D-,F+,D ,D ,D ,F ,D ,D+,D+,F-,D ,C ,B ,F ,F ,D ,F ,F ,F ,D ,D ,D ,F ,D ,D 
Marvin,Bagley,PF,Rockets,RBSL,29,83,271,C ,B ,C ,B+,C ,F+,A ,B+,B-,D ,C ,B+,C ,B+,A ,C+,A-,C ,B ,C ,B ,C ,D ,A ,B ,B ,D ,C ,B 
Markelle,Fultz,PG,Pacers,RBSL,35,76,218,C ,C+,B ,C+,B ,C ,D-,D+,D ,C ,C ,D+,B ,B+,C-,C ,A-,C ,C ,B ,B ,B ,C ,F ,D ,D ,C ,C ,D 
Daniel,Martin,C,FA,,33,83,284,C-,D ,B-,F-,F+,F-,F ,D ,D-,F ,F-,D-,F+,F-,C-,C+,D ,D ,D ,B ,F ,F ,F ,F ,D ,F ,F ,F ,D 
Abe,Harrington,PG,FA,,22,75,166,F+,C-,B+,C ,D ,D-,F ,F+,F ,C-,F-,F ,C ,B+,D+,C-,C ,D ,B ,B ,B ,C ,D ,F ,D ,F ,C ,F ,D 
Alvin,King,C,D-Hawks,D-RBSL,33,83,283,F+,D ,C ,F-,D ,F+,D ,C-,C ,D ,D ,C ,C-,F-,F ,A-,C+,F ,D ,C ,F ,D ,F ,D ,C ,C ,D ,D ,C 
César,Lianos,PG,Nets,RBSL,22,76,193,F+,C-,B+,D ,C ,D+,F-,F+,F ,C ,F ,F ,B-,B ,C-,C ,A-,F ,B ,B ,C ,C ,C ,F ,D ,F ,B ,F ,F 
Wendell,Carter,PF,Hawks,RBSL,29,82,279,D+,C+,C+,B-,D+,C+,B ,A-,C+,D ,C-,B ,C-,C-,C-,A ,B-,D ,B ,B ,B ,D ,C ,B ,A ,C ,D ,C ,B 
Monty,Yarborough,PF,D-Warriors,D-RBSL,34,83,282,D-,C ,C+,F-,C-,D-,D-,C ,C+,F+,D ,C-,C ,D-,B-,C ,A-,F ,C ,B ,F ,D ,F ,F ,D ,B ,F ,D ,D 
Douglas,Stout,SG,D-Nets,D-RBSL,28,77,219,C ,B-,A ,C ,C ,D ,F+,F ,F+,C ,D+,F ,B+,B+,C-,C-,A-,C ,B ,A ,C ,C ,D ,F ,F ,F ,C ,D ,F 
Oldrich,Luba,C,Timberwolves,RBSL,33,87,300,D ,C-,B-,F-,C-,C ,A+,A ,B ,C ,D+,A+,A+,D ,C ,C+,B-,D ,D ,B ,F ,D ,C ,A ,A ,B ,C ,D ,A 
Cristobal,Williams,PG,FA,,23,76,210,D ,D+,C ,D ,C+,C-,F ,D ,D-,C-,D+,F-,F+,B+,D ,C-,A-,D ,D ,C ,D ,C ,D ,F ,D ,D ,C ,D ,F 
Andrew,Medley,PG,Lakers,RBSL,22,72,211,F ,C ,B ,B ,D ,F ,D+,D+,D+,C-,C ,D ,F+,A ,C ,F ,B+,F ,B ,B ,A ,C ,F ,D ,C ,C ,B ,B ,D 
Rudolph,Wolf,C,D-Pistons,D-RBSL,26,86,285,D-,D ,B-,F-,D ,D-,C-,C ,C ,F-,F+,C ,F+,F ,D+,B+,C+,F ,D ,B ,F ,D ,F ,D ,C ,C ,F ,F ,C 
John,Faulkner,PG,D-Knicks,D-RBSL,26,77,189,D-,C-,B-,D+,C ,D ,D+,D-,F ,C-,C ,F-,A-,A-,D ,B-,A-,F ,D ,B ,D ,D ,D ,D ,F ,F ,D ,C ,F 
Mason,Harris,SG,Draft,,21,80,172,D+,C ,C+,D+,C-,F+,F+,C-,F+,D ,C ,F+,F+,B+,D ,C ,A-,C ,B ,C ,D ,C ,D ,F ,C ,F ,C ,C ,F 
