FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,PG,Trail Blazers,RBSL,27,77,210,D+,C ,B ,C ,C ,D+,C ,C-,B-,C+,C+,C+,B ,A-,A ,B+,A+,D ,C ,B ,C ,C ,D ,C ,D ,B ,B ,B ,C 
Mo,Bamba,C,Pelicans,RBSL,28,83,270,D ,B+,B ,A-,C ,F ,A ,A-,A ,C-,C ,A+,A ,C ,B-,C+,A-,D ,A ,B ,B ,D ,D ,A ,A ,A ,C ,C ,A 
William,Tate,SG,D-Cavs,D-RBSL,26,74,195,C ,C ,C+,B-,C ,F+,F-,F+,F ,C+,D ,D ,A-,A-,C ,C ,A ,D ,C ,C ,B ,C ,F ,F ,F ,F ,B ,D ,D 
Brice,Williams,C,FA,,30,83,281,D+,D ,C ,F-,D ,D ,C-,D ,D+,F+,D+,D ,C-,F-,C ,C+,A-,D ,D ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,31,83,287,D ,D ,C+,F-,D+,D-,C ,B ,C+,F+,D ,C+,A ,F-,C-,C+,C+,D ,D ,C ,F ,D ,F ,C ,B ,B ,F ,D ,C 
Domenic,Cary,C,FA,,33,85,297,F ,C-,C ,F-,D+,F ,D+,C ,D ,F ,D+,D ,B ,F-,D ,A ,D+,F ,D ,C ,F ,D ,F ,D ,C ,D ,F ,D ,D 
James,Mathes,PG,FA,,24,75,176,D-,D ,C+,F ,D+,F ,D+,F+,F-,C ,C ,F-,C-,A-,C ,C-,A ,D ,D ,C ,F ,D ,F ,D ,F ,F ,C ,C ,F 
Mikal,Bridges,SG,Heat,RBSL,29,79,229,F+,C ,A-,B+,C-,D+,D+,C ,C ,B+,B+,C ,C+,B+,B-,C+,A ,D ,C ,A ,A ,D ,D ,D ,C ,C ,B ,B ,C 
Erasmo,Twyman,C,FA,,31,83,281,F ,D-,C-,F-,D-,D-,D ,D+,D ,F ,D+,C-,C-,F-,C-,C-,B+,F ,D ,D ,F ,F ,F ,D ,D ,D ,F ,D ,D 
