FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,SG,Timberwolves,RBSL,27,77,210,D+,C ,B-,C ,C ,D+,C ,D+,C+,C+,B-,C+,B+,A-,A ,A-,A+,D ,C ,B ,C ,C ,D ,C ,D ,C ,B ,B ,B 
Mo,Bamba,PF,Pelicans,RBSL,28,83,270,D ,B ,B-,B ,C-,F ,A ,A-,A-,C-,C ,A ,A ,C ,C+,B-,A-,D ,A ,B ,B ,D ,D ,A ,A ,A ,C ,C ,A 
William,Tate,PG,D-Cavs,D-RBSL,26,74,195,C ,C ,C+,B-,C ,F+,F-,F+,F ,C+,D ,D ,A-,A-,C ,C ,A ,C ,C ,C ,B ,C ,F ,F ,F ,F ,C ,D ,D 
Brice,Williams,C,FA,,30,83,281,D+,D ,C ,F-,D ,D ,C-,D ,C-,F+,D+,D ,C ,F-,C ,C+,A-,D ,D ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,31,83,287,D+,D ,C+,F-,D+,D-,C ,B ,C+,D-,D+,C+,A ,F-,C-,C+,B-,D ,D ,C ,F ,D ,F ,C ,B ,C ,F ,D ,C 
Domenic,Cary,C,FA,,33,85,297,F ,C-,C+,F-,C-,F ,D+,C ,D ,F ,D+,D ,B-,F-,D ,A ,D ,F ,D ,C ,F ,D ,F ,D ,C ,D ,F ,D ,D 
James,Mathes,PG,FA,,24,75,176,D-,D-,C ,F ,D+,F+,D+,F ,F-,C ,C ,F-,C-,A ,C ,C-,A ,D ,F ,C ,F ,D ,F ,D ,F ,F ,C ,C ,F 
Mikal,Bridges,SG,Heat,RBSL,29,79,229,F+,C ,A ,A-,D+,D ,C-,C ,C ,A-,B-,C ,B-,B+,C+,C+,A+,D ,C ,A ,A ,D ,D ,D ,C ,C ,B ,B ,C 
Erasmo,Twyman,C,FA,,31,83,281,F ,D-,D+,F-,D-,D-,D ,D+,D ,F ,D+,C-,C-,F-,D+,C-,B ,F ,D ,D ,F ,F ,F ,D ,D ,D ,F ,D ,D 
Marvin,Bagley,PF,Rockets,RBSL,27,83,266,C ,C+,C ,A-,C-,F ,A ,A-,C ,D ,C ,B ,C ,B+,A ,C+,A-,C ,C ,C ,B ,C ,D ,A ,B ,B ,D ,C ,B 
Markelle,Fultz,PG,Spurs,RBSL,33,76,214,C ,B ,C+,B-,B-,C+,D-,C-,D ,C ,C ,C-,B ,B+,C ,C ,A ,C ,B ,B ,B ,B ,C ,F ,D ,D ,C ,C ,D 
Daniel,Martin,C,FA,,31,83,282,C ,D+,C+,F-,F+,F-,F ,D+,D-,F ,F-,D ,F ,F ,C ,B-,D ,D ,D ,B ,F ,F ,F ,F ,D ,F ,F ,F ,D 
Trevor,Lucas,PF,FA,,34,83,275,D ,D ,C+,F-,D+,F-,D ,D-,C ,F-,F ,F ,F ,F ,D ,B ,B ,D ,D ,B ,F ,D ,F ,D ,D ,C ,F ,F ,F 
Alvin,King,C,D-Hawks,D-RBSL,30,83,282,D-,D ,C ,F-,D ,F+,D+,C ,C+,D+,D ,C ,C-,F ,F+,A-,B ,F ,D ,C ,F ,D ,F ,D ,C ,C ,D ,D ,C 
Travis,McGregor,C,FA,,33,84,298,D ,D ,C ,F-,F+,F ,D+,D-,D ,F ,F-,D+,B-,F-,C-,A+,C ,D ,D ,B ,F ,F ,F ,D ,D ,D ,F ,F ,D 
Wendell,Carter,C,Hawks,RBSL,27,82,277,D+,C+,B-,B-,C-,C+,A-,A ,C+,D-,C-,B ,C-,D+,C ,A ,B ,D ,B ,B ,B ,D ,C ,B ,A ,C ,D ,D ,B 
Monty,Yarborough,C,D-Warriors,D-RBSL,32,83,280,D ,C+,C+,F-,C-,D-,D ,C ,B-,F+,D+,C ,C ,D ,B-,C ,A-,D ,C ,B ,F ,D ,F ,D ,C ,B ,F ,D ,C 
Douglas,Stout,PG,D-Nets,D-RBSL,26,77,216,C-,C+,A-,C ,C ,D-,F+,F-,F+,C ,D ,F ,A-,A-,C-,D+,C+,C ,B ,A ,C ,C ,D ,F ,F ,F ,C ,D ,F 
Oldrich,Luba,C,Timberwolves,RBSL,31,87,294,D+,D+,B ,F-,C-,C+,A+,A ,A-,B-,D+,A+,A+,C-,B-,C+,A-,D ,D ,B ,F ,D ,C ,A ,A ,A ,B ,D ,A 
Cristobal,Williams,PG,FA,,21,76,209,D ,D ,C ,D ,C+,C-,F ,D-,D-,C-,D ,F-,F+,A-,D ,C-,B ,D ,D ,B ,D ,B ,D ,F ,D ,D ,D ,D ,F 
Scott,Magill,C,FA,,34,80,256,D ,C ,A-,F+,D ,F ,D-,D+,C ,F ,F+,C ,C ,F-,C+,A-,C+,D ,C ,A ,F ,D ,F ,F ,D ,D ,F ,F ,C 
Rudolph,Wolf,C,D-Pistons,D-RBSL,24,86,268,D-,D ,C+,F-,D ,D-,D ,C ,C ,F-,F+,C-,D-,F ,C-,C+,C ,D ,D ,B ,F ,D ,D ,D ,C ,C ,F ,F ,C 
John,Faulkner,PG,D-Knicks,D-RBSL,24,77,188,F+,C-,B ,D ,C ,D ,D ,F+,F-,C-,C ,F-,B+,A-,D ,C+,B+,F ,D ,B ,D ,C ,D ,D ,F ,F ,D ,C ,F 
Arden,Moses,C,D-76ers,D-RBSL,32,83,286,D-,C-,D ,F-,C-,D ,C ,C ,C ,F+,C-,D ,C-,F-,D-,C+,B ,D ,C ,D ,F ,D ,D ,C ,C ,C ,D ,D ,D 
Chris,Adams,C,FA,,24,84,282,F+,C-,C+,F-,D-,D ,C ,C-,C-,F ,F-,C+,C ,F ,D-,A-,C ,D ,C ,B ,F ,F ,D ,C ,C ,D ,F ,F ,C 
Justin,Graves,C,D-Mavericks,D-RBSL,30,83,281,D-,F+,C ,F-,D+,D ,D-,C ,C ,F ,D-,C ,A-,D-,C+,B ,A ,D ,F ,C ,F ,D ,D ,D ,C ,C ,F ,D ,C 
Michael,Porter Jr.,PF,Bulls,RBSL,27,82,240,D ,C ,A-,C+,C ,D ,C-,D+,D ,D ,C ,C-,B+,B ,B+,B ,A ,D ,C ,A ,C ,C ,D ,D ,D ,D ,D ,C ,D 
Gil,De Urquiza,PG,FA,,24,74,185,D ,D+,B-,D ,C ,D+,F+,F ,F-,D ,C-,F-,A-,B-,C-,C+,B-,D ,D ,B ,D ,C ,D ,F ,F ,F ,D ,D ,F 
Donald,Kahler,PG,D-Nuggets,D-RBSL,26,71,181,D-,B ,B-,C+,C ,D-,F+,D ,F+,B ,D+,F ,A-,B ,C ,C ,C+,D ,B ,B ,C ,C ,F ,F ,D ,F ,B ,D ,F 
Hoyt,White,PG,FA,,23,72,173,F ,A-,A-,F ,B ,F ,F-,F ,F ,F+,C+,F-,C-,B ,C-,D+,C ,F ,A ,A ,F ,B ,F ,F ,F ,F ,D ,B ,F 
Kendrick,Delacruz,C,FA,,31,87,307,F+,D-,C-,F-,D-,F+,F+,D-,C-,F ,F ,D+,C+,F ,D-,A ,B ,F ,F ,C ,F ,F ,F ,F ,D ,D ,F ,F ,D 
Loren,Whitaker,PF,D-Knicks,D-RBSL,32,82,274,F ,C-,D+,F-,C-,F+,C ,C+,C ,D-,D ,B+,A ,D-,C ,B-,F+,F ,C ,D ,F ,D ,F ,C ,B ,C ,D ,D ,B 
Alvaro,Parker,C,FA,,34,84,292,D ,F ,C-,F-,F ,F+,F+,C-,C-,F ,D-,D ,C-,F-,D+,A-,C ,D ,F ,D ,F ,F ,F ,F ,D ,D ,F ,D ,D 
