FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,SG,Trail Blazers,RBSL,28,77,211,C-,C ,B-,C+,C ,D+,C ,C-,B-,B-,B-,C+,B ,A-,A-,A-,A ,D ,C ,B ,C ,C ,D ,C ,D ,B ,B ,B ,C 
Mo,Bamba,C,Pelicans,RBSL,29,83,274,D ,A-,B-,B+,C-,F ,A ,A-,A-,C ,C ,A+,A-,C ,B-,C+,A-,D ,A ,B ,A ,D ,D ,A ,A ,A ,C ,C ,A 
William,Tate,PG,D-Cavs,D-RBSL,27,74,197,C-,C ,C+,B ,C ,F+,F-,D-,F+,C+,D ,D ,A-,A-,C ,C ,A ,D ,C ,B ,B ,C ,F ,F ,F ,F ,B ,D ,D 
Brice,Williams,C,FA,,31,83,281,D+,D-,C ,F-,D-,D ,C-,D ,D+,F+,C-,D ,C ,F-,C ,B-,B+,D ,D ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,32,83,287,D ,D ,C ,F-,D+,D-,C ,B-,C+,F+,D ,C+,A ,F-,C-,C ,C+,D ,D ,C ,F ,D ,F ,C ,B ,C ,F ,D ,C 
Wilfredo,Nichols,PG,Draft,,22,77,155,D+,C+,C ,D ,B-,C-,D+,C+,F+,C+,D+,F+,C+,A-,C-,A ,C+,D ,B ,C ,C ,A ,A ,D ,B ,D ,B ,C ,D 
James,Mathes,PG,FA,,25,75,177,D-,D-,C+,F ,D ,F ,D ,F ,F-,C-,C ,F-,C-,A ,C ,C-,A+,F ,F ,C ,F ,D ,F ,D ,F ,F ,D ,D ,F 
Mikal,Bridges,SF,Rockets,RBSL,30,79,229,D-,C ,A-,A-,C-,D+,D+,C ,C ,B+,B ,C ,B-,B ,C+,B-,A+,D ,C ,A ,A ,D ,D ,D ,C ,C ,B ,B ,C 
Erasmo,Twyman,C,FA,,32,83,281,F ,D-,C-,F-,D-,D-,D ,D+,D ,F ,D ,C-,D+,F-,D+,C-,B+,F ,D ,D ,F ,F ,F ,D ,D ,D ,F ,D ,D 
