FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,PG,Clippers,RBSL,29,77,212,D+,C ,B-,C+,C ,D+,C ,D+,C+,C+,B-,C+,B+,A ,A ,B+,A ,D ,C ,B ,B ,C ,D ,C ,D ,B ,C ,B ,C 
Mo,Bamba,C,Pelicans,RBSL,30,83,278,D ,A-,B-,B ,C ,F ,A-,A-,B+,C-,C ,A+,A-,C ,C ,C+,A-,D ,B ,B ,B ,D ,D ,A ,A ,B ,C ,C ,A 
William,Tate,PG,D-Cavs,D-RBSL,28,74,197,C ,C ,C ,C+,C ,F+,F-,F+,F ,C+,D ,D+,B ,A ,C ,C ,A ,C ,C ,C ,C ,C ,F ,F ,F ,F ,C ,D ,D 
Brice,Williams,C,FA,,32,83,282,D ,D-,C ,F-,D-,D ,D+,D ,D+,F+,D+,D ,C ,F-,C ,B-,B ,D ,F ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,33,83,287,D ,D ,C+,F-,D+,D-,C ,B-,C+,F+,D ,C ,A ,F-,C-,C ,C+,D ,D ,C ,F ,D ,F ,C ,B ,C ,F ,D ,C 
Wilfredo,Nichols,PG,Hawks,RBSL,22,77,170,D+,C ,C ,D ,B ,C-,D+,C+,F+,C ,D ,F+,C+,A ,C ,A-,B-,D ,B ,C ,C ,B ,A ,D ,B ,F ,B ,C ,F 
James,Mathes,PG,FA,,25,75,178,D-,D-,C+,F ,D ,F ,D ,F ,F-,C ,C ,F-,C-,A ,C ,C ,A ,D ,D ,C ,F ,D ,F ,D ,F ,F ,C ,D ,F 
Mikal,Bridges,SF,Clippers,RBSL,31,79,230,D-,C ,A-,B+,C-,D+,D+,C ,C ,B+,B+,C ,B-,B-,C ,C+,A+,D ,C ,A ,B ,D ,D ,D ,C ,C ,B ,B ,C 
Erasmo,Twyman,C,FA,,33,83,282,F ,D-,C-,F-,D-,F+,D-,D+,D ,F ,D ,D+,C-,F-,D ,C-,B+,F ,F ,D ,F ,F ,F ,D ,D ,D ,F ,D ,D 
Marvin,Bagley,PF,Rockets,RBSL,29,83,269,C ,B-,C ,B+,C ,F+,A+,B+,C+,D ,C ,B+,C ,B+,A ,C+,A-,C ,B ,B ,B ,C ,D ,A ,A ,C ,D ,C ,B 
Markelle,Fultz,PG,D-Cavs,D-RBSL,35,76,217,C ,C+,C+,C+,B-,C ,D-,D+,D ,C ,C ,D+,B+,B ,C ,C ,A ,C ,C ,B ,B ,B ,C ,F ,D ,D ,C ,C ,D 
Daniel,Martin,C,FA,,33,83,285,C-,D ,B-,F-,F+,F-,F ,D ,D-,F ,F-,D ,F+,F-,C ,C+,D ,D ,D ,B ,F ,F ,F ,F ,D ,F ,F ,F ,D 
Abe,Harrington,PG,D-Trail Blazers,D-RBSL,22,75,162,F+,C-,C+,C-,D ,D-,F ,F+,F ,C-,F ,F+,C ,B ,D+,C-,C-,D ,B ,B ,B ,D ,D ,F ,D ,F ,C ,F ,D 
Alvin,King,C,D-Hawks,D-RBSL,32,83,284,F+,D ,C ,F-,D+,F+,D+,C ,C+,D ,D ,C ,C-,F-,F ,A-,B ,F ,D ,C ,F ,D ,F ,D ,C ,C ,D ,D ,C 
César,Lianos,PG,Nets,RBSL,22,76,194,F+,C-,B ,D ,C-,D ,F-,F+,F ,C ,F+,F+,C+,B ,C-,C ,A-,F ,B ,B ,D ,C ,C ,F ,D ,F ,B ,F ,F 
Wendell,Carter,C,Hawks,RBSL,29,82,280,D+,B-,C+,B ,C-,C+,A-,A-,C+,D+,C-,B-,C-,C-,D+,A-,B-,D ,B ,B ,B ,D ,C ,B ,A ,C ,D ,D ,B 
Monty,Yarborough,PF,D-Warriors,D-RBSL,34,83,281,D-,C ,C ,F-,C-,F+,D-,C-,C+,F+,D ,C-,C ,F+,B-,C ,A-,D ,C ,B ,F ,D ,F ,D ,D ,C ,F ,D ,D 
Douglas,Stout,SG,D-Nets,D-RBSL,28,77,219,C-,C+,A ,C ,C ,D ,F+,F ,F+,C ,D+,F+,A-,A-,C-,D+,B+,C ,C ,A ,C ,C ,D ,F ,F ,F ,C ,D ,F 
Oldrich,Luba,C,Timberwolves,RBSL,33,87,299,D ,C-,B+,F-,C-,C ,A+,A ,B+,C+,D+,A+,A ,D ,C ,C+,B-,D ,D ,B ,F ,D ,C ,A ,A ,B ,C ,D ,A 
Cristobal,Williams,PG,FA,,23,76,211,D ,D ,C ,D ,C+,C-,F ,D-,D ,C-,D+,F-,F+,A-,D ,C ,A-,D ,D ,C ,D ,C ,D ,F ,F ,D ,D ,D ,F 
Andrew,Medley,PG,Lakers,RBSL,22,72,210,F ,C ,B-,C ,D+,F ,C-,D ,D+,C-,C-,D ,F+,A ,C ,F ,A-,F ,B ,B ,A ,D ,F ,D ,C ,C ,B ,B ,D 
Rudolph,Wolf,C,D-Pistons,D-RBSL,26,86,275,D-,D ,C+,F-,D ,D-,D+,C ,C ,F-,F+,C-,D-,F ,D+,B-,C ,F ,D ,B ,F ,D ,F ,D ,C ,C ,F ,F ,D 
John,Faulkner,PG,D-Knicks,D-RBSL,26,77,190,F+,C-,B ,D+,C ,D ,D ,D-,F ,C-,C ,F-,B+,A-,D+,C+,A-,D ,C ,B ,D ,C ,D ,D ,F ,F ,C ,C ,F 
Gary,Mease,SG,Draft,,21,78,212,F ,C+,A-,F-,C ,F ,F-,D+,F-,C-,D-,F ,C ,C+,C-,D ,B-,F ,B ,B ,F ,B ,F ,F ,C ,F ,D ,D ,F 
Chris,Adams,C,D-Clippers,D-RBSL,26,84,286,D-,C-,C+,F-,D-,D ,C ,C-,C-,F ,F-,C ,C-,F ,D-,A ,C+,D ,C ,C ,F ,F ,D ,C ,D ,D ,F ,F ,C 
Justin,Graves,C,D-Mavericks,D-RBSL,32,83,283,D-,F+,C ,F-,D+,D ,D-,C ,C-,F ,D-,C-,A-,D-,C+,B-,A-,F ,F ,C ,F ,D ,D ,F ,C ,D ,F ,F ,D 
Michael,Porter Jr.,PF,Bulls,RBSL,29,82,247,D ,C+,A-,C+,C ,D ,C-,D+,C-,D ,C ,C-,A-,B+,B-,B ,A+,D ,C ,A ,C ,C ,D ,D ,D ,D ,D ,C ,D 
