FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,PF,Clippers,RBSL,30,77,212,C-,C+,C+,C+,C ,D+,C ,C-,C+,B-,B-,C+,A-,A-,A+,A-,A ,D ,C ,B ,C ,C ,D ,C ,D ,B ,B ,B ,C 
Mo,Bamba,C,Rockets,RBSL,31,83,278,D+,A-,B ,B+,C-,F ,A ,A-,A-,C-,C ,A ,B+,C ,C+,B-,A-,D ,B ,B ,B ,D ,D ,A ,A ,A ,C ,C ,A 
William,Tate,PG,D-Cavs,D-RBSL,29,74,198,C ,C ,C+,C+,C ,F+,F-,F+,F+,C+,D ,D ,A-,A ,C ,C ,A ,C ,C ,C ,C ,C ,F ,F ,F ,F ,B ,D ,D 
Brice,Williams,C,FA,,32,83,282,D ,D-,C ,F-,D ,D ,D+,D ,D+,F ,D+,D-,C-,F-,C ,C+,B-,D ,F ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,33,83,289,D ,D ,C ,F-,D ,D-,C ,C+,C ,F+,D ,C ,A ,F-,D+,C+,C+,D ,D ,C ,F ,D ,F ,C ,B ,C ,F ,D ,C 
Wilfredo,Nichols,PG,Hawks,RBSL,23,77,156,D+,C ,C ,D ,A-,C ,D+,B-,F+,B-,D+,F+,B-,A+,C ,A-,B-,D ,B ,C ,C ,A ,A ,D ,B ,F ,A ,C ,D 
James,Mathes,PG,FA,,26,75,178,D-,D-,C+,F ,D ,F ,D ,F ,F-,C-,C-,F-,C-,A+,C ,C ,A ,D ,F ,C ,F ,D ,F ,D ,F ,F ,D ,D ,F 
Mikal,Bridges,SF,FA,,31,79,229,F+,C ,A-,B+,C-,D+,D ,C ,C ,B+,B-,C ,C+,C+,C ,B-,A ,F ,C ,A ,A ,D ,D ,D ,C ,C ,B ,B ,D 
Marvin,Bagley,PF,Rockets,RBSL,30,83,271,C ,C+,C ,A-,C ,F+,A ,B+,C+,D+,C ,B ,C+,B+,A-,C+,B+,C ,B ,C ,B ,C ,D ,A ,A ,B ,D ,C ,B 
Markelle,Fultz,PG,FA,,36,76,218,C-,C+,B-,C ,B ,C ,D-,D+,D ,C ,C ,D+,B+,B ,C-,C ,A-,D ,C ,B ,C ,B ,C ,F ,D ,D ,C ,C ,D 
Abe,Harrington,PG,FA,,22,75,166,F+,C-,B ,C ,D ,D-,F ,F ,F ,C ,F ,F+,C ,A-,D ,C-,C-,D ,B ,B ,B ,C ,D ,F ,D ,F ,B ,F ,D 
